program,number,name,credit,prerequisite,Corequisite,Anti-requisite,Advisory Prerequisite
AMS,102,Elements of Statistics,3,Satisfaction of entry skill in mathematics requirement (Skill 1) or satisfactory completion of D.E.C. C or QPS; Non AMS majors only,,May not be taken by students with credit for AMS 110 or AMS 310.,
AMS,103,Applied Mathematics in Modern Technology,3,Level 3 or higher on the mathematics placement examination,,,
AMS,104,Spreadsheet Technology and Applications,3,Level 2+ or higher on the mathematics placement examination or MAT 123 or higher,,,
AMS,110,Probability and Statistics in the Life Sciences,3,AMS 151 or MAT 125 or 131.,,May not be taken by students with credit for AMS 102 or AMS 310,
AMS,151,Applied Calculus I,3,B or higher in MAT 123 or level 5 on the mathematics placement examination,,,
AMS,161,Applied Calculus II,3,"C or higher in AMS 151 or MAT 131, or level 7 on the mathematics placement examination",,,
AMS,210,Applied Linear Algebra,3,AMS 151 or MAT 131 or corequisite MAT 126 or level 7 or higher on the mathematics placement exam,,,
AMS,261,Applied Calculus III,4,AMS 161 or MAT 127 or 132 or MPE level 9,,,
AMS,300,Writing in Applied Mathematics,1,WRT 102; AMS major; U3 or U4 standing,,,
AMS,301,Finite Mathematical Structures,3,AMS 210 or MAT 211 or AMS 361 or MAT 303,,,
AMS,303,Graph Theory,3,AMS 301,,,
AMS,310,Survey of Probability and Statistics,3,AMS 161 or MAT 132 or MAT 127,,,
AMS,311,Probability Theory,3,AMS 301 and 310 or permission of instructor,MAT 203 or AMS 261,,
AMS,315,Data Analysis,3,AMS 310,,,
AMS,316,Introduction to Time Series Analysis,3,AMS 311 and AMS 315,,,
AMS,317,Introduction to Linear Regression Analysis,3,AMS 315; AMS 210 or MAT 211,,,
AMS,318,Financial Mathematics,3,AMS 310,,,
AMS,320,Introduction to Quantitative Finance,3,AMS 311,,,
AMS,325,Computing and Programming Fundamentals in Applied Mathematics and Statistics,3,AMS 210 or MAT 211; AMS major,,,
AMS,326,Numerical Analysis,3,"CSE 101; AMS 161; basic skills in using a high-level programming language (C, C++, or Java).",,,AMS 210
AMS,332,Computational Modeling of Physiological Systems,3,MAT 127 or MAT 132 or AMS 161 or MPE level 9 and any one of the following: BIO 202 or BIO 203 or CHE 132 or CHE 331 or PHY 127 or PHY 132,,,
AMS,333,Mathematical Biology,3,AMS 161 or MAT 132; U3 or U4 standing; or permission of the instructor,,,
AMS,335,Game Theory,3,MAT 126 or 131 or AMS 151; C or higher in ECO 303,,,
AMS,341,Operations Research I: Deterministic Models,3,AMS 210 or MAT 211 or MAT 307 and MAT 308,,,
AMS,342,Operations Research II: Stochastic Models,3,AMS 210 or MAT 211; AMS 311,,,
AMS,345,Computational Geometry,3,AMS 301; programming knowledge of C or C++ or Java,,,
AMS,351,Applied Algebra,3,C or higher in AMS 210 or MAT 211 or MAT 220 or MAT 308,,,
AMS,361,Applied Calculus IV: Differential Equations,4,AMS 161 or MAT 127 or 132 or MPE level 9,,,
AMS,380,Data Mining,3,AMS 210 or MAT 211 or MAT 307; AMS 311,,,
AMS,394,Statistical Laboratory,3,AMS 310 or AMS 315,,,
AMS,410,Actuarial Mathematics,3,AMS 261 or MAT 203; AMS 310; AMS 311 or 315,,,
AMS,412,Mathematical Statistics,3,AMS 311,,,
AMS,420,Investment Science Foundations,3,B+ or better in AMS 311,,,AMS 341
AMS,441,Business Enterprise,3,Junior or Senior Standing,,,
AMS,458,Speak Effectively Before an Audience,0,,WRT 102 or equivalent; permission of the instructor,,
AMS,459,Write Effectively in Applied Mathematics,0,WRT 102; permission of the instructor,,,
AMS,475,Undergraduate Teaching Practicum,3,U4 standing as an undergraduate major within the college; a minimum g.p.a. of 3.00 in all Stony Brook courses and the grade of B or better in the course in which the student is to assist; permission of department,,,
AMS,476,Undergraduate Teaching Practicum,3,U4 standing as an undergraduate major within the college; a minimum g.p.a. of 3.00 in all Stony Brook courses and the grade of B or better in the course in which the student is to assist; permission of department,,,
AMS,487,Research in Applied Mathematics,3,Permission of instructor and department,,,
AMS,492,Topics in Applied Mathematics,3,Permission of instructor,,,
