program,number,name,credit,prerequisite,Corequisite,Anti-requisite,Advisory Prerequisite
CSE,101,Computer Science Principles,4,Level 3 or higher on the mathematics placement examination,,May not be taken by students with credit for CSE 114 or CSE 160,
CSE,102,Introduction to Web Design and Programming,3,,,,CSE 101 or basic computer skills
CSE,110,Introduction to Computer Science,3,Level 3 or higher on the mathematics placement examination,,,
CSE,113,Foundations of Computer Science I,4,AMS 151 or MAT 125 or MAT 131 or level 6 on the mathematics placement examination,,,
CSE,114,Introduction to Object-Oriented Programming,4,Level 5 or higher on the math placement exam,,,CSE 101 or ISE 108
CSE,130,Introduction to Programming in C,3,Level 3 or higher on the mathematics placement examination,,,
CSE,150,Foundations of Computer Science: Honors,4,one MAT course that satisfies D.E.C. C or QPS or score of level 4 on the math placement exam; admission to Honors in Computer Science or the Honors College or the WISE Honors Program or University Scholars or Simons STEM Scholars Program.,,,
CSE,160,Computer Science A: Honors,3,Honors in Computer Science or the Honors College or the WISE Honors Program or University Scholars or the Simons STEM Scholars Program.,CSE 161,,CSE 101
CSE,161,Laboratory for Computer Science A: Honors,1,,CSE 160,,
CSE,190,Special Topics in Practice and Applications of Computer Science,3,,,,
CSE,191,Special Topics in Practice and Applications for Computer Science,3,,,,
CSE,192,Special Topics in Practice and Applications for Computer Science,3,,,,
CSE,214,Data Structures,4,C or higher in CSE 114,,,
CSE,215,Foundations of Computer Science,4,AMS 151 or MAT 125 or MAT 131,,,
CSE,216,Programming Abstractions,4,C or higher in CSE 214; CSE major,,,
CSE,220,Systems Fundamentals I,4,C or higher in CSE 214 or co-requisite CSE 260 and CSE major,,,
CSE,230,Intermediate Programming in C and C++,3,CSE 130 or CSE 220 or ESE 124 or ESG 111 or BME 120 or MEC 102,,,
CSE,260,Computer Science B: Honors,3,CSE 160,CSE 261,,
CSE,261,Laboratory for Computer Science B: Honors,1,,CSE 260,,
CSE,300,Technical Communications,3,WRT 102; CSE or ISE or DAS major; U3 or U4 standing,,,
CSE,301,History of Computing,3,U2 standing or higher,,,one course in computing
CSE,303,Introduction to the Theory of Computation,3,C or higher: CSE 160 or CSE 214; CSE 150 or CSE 215; CSE major,,,
CSE,304,Compiler Design,3,C or higher: CSE 216 or CSE 260; CSE 220,,,CSE 303 or CSE 350
CSE,305,Principles of Database Systems,3,"C or higher: CSE 214, CSE 216 or CSE 260; CSE or DAS major",,,
CSE,306,Operating Systems,3,C or higher: CSE 320 or ESE 280; CSE Major or ECE major.,,,
