program,number,name,credit,prerequisite,Corequisite,Anti-requisite,Advisory Prerequisite
MAT,118,Mathematical Thinking,3,C or better in MAP 103 or level 2+ or higher on the mathematics placement examination,,,
MAT,119,Foundations for Precalculus,1,2+ on placement or permission of MAT 123 instructor,MAT 123,,
MAT,122,Overview of Calculus with Applications,3,C or better in MAP 103 or level 3 on the mathematics placement exam,,,
MAT,123,Precalculus,3,C or better in MAP 103 or level 3 on the mathematics placement exam or corequisite MAT 119 (Prerequisite must be met within one year prior to beginning the course.),,,
MAT,125,Calculus A,3,C or higher in MAT 123; or level 4 on the mathematics placement examination; or corequisite MAT 130,,,
MAT,126,Calculus B,3,C or higher in MAT 125 or 131 or 141 or AMS 151 or level 6 on the mathematics placement examination,,,
MAT,127,Calculus C,3,C or higher in MAT 126 or level 8 on the mathematics placement examination,,,
MAT,130,Trigonometry and Logarithms,1,"MAT 122 with a grade of C or better, or level 3+ or higher on the placement exam, or permission of instructor",,,
MAT,131,Calculus I,4,B or higher in MAT 123 or level 5 on the mathematics placement examination,,,
MAT,132,Calculus II,4,"C or higher in AMS 151 or MAT 131 or 141, or level 7 on the mathematics placement examination",,,
MAT,200,"Logic, Language and Proof",3,Level 4 on the mathematics placement examination or equivalent course or permission of the instructor,,,
MAT,203,Calculus III with Applications,4,C or higher in MAT 127 or 132 or 142 or AMS 161 or level 9 on the mathematics placement examination,,,
MAT,211,Introduction to Linear Algebra,3,C or higher in AMS 151 or MAT 131 or 141 or coregistration in MAT 126 or level 7 on the mathematics placement examination,,,
MAT,250,Introduction to Advanced Mathematics,4,MAT 131 or an equivalent course or level 7 or higher on mathematics placement examination,,,
MAT,260,Problem Solving in Mathematics,1,Permission of instructor,,,
MAT,303,Calculus IV with Applications,4,C or higher in MAT 127 or 132 or 142 or AMS 161 or level 9 on the mathematics placement examination,,,
MAT,307,Multivariable Calculus with Linear Algebra,4,MAT 127 or MAT 132,,,
MAT,308,Differential Equations with Linear Algebra,4,MAT 307; or MAT 203 and MAT 211; or MAT 132 and MAT 220; or permission of instructor,,,
MAT,310,Linear Algebra,4,C or higher in MAT 211 or 308 or AMS 210 or MAT 220; C or higher in MAT 200 or MAT 250 or permission of instructor,,,
MAT,311,Number Theory,3,C or higher in MAT 312 or 313; C or higher in MAT 200 or MAT 250 or permission of instructor,,,
MAT,312,Applied Algebra,3,C or higher in AMS 210 or MAT 211 or MAT 220 or MAT 308,,,
MAT,313,Abstract Algebra,3,C or higher in MAT 310 or MAT 312 or MAT 315; C or higher in MAT 200 or MAT 250 or permission of instructor,,,
